method,split,seeds,episodes_per_seed,mean_success_rate,ci95_success_rate,mean_mean_abs_force_error,ci95_mean_abs_force_error,mean_post_shift_force_error,ci95_post_shift_force_error,mean_normalized_force_error,ci95_normalized_force_error,mean_peak_overshoot,ci95_peak_overshoot,mean_safety_violation_rate,ci95_safety_violation_rate,mean_slip_rate,ci95_slip_rate,mean_chatter_rate,ci95_chatter_rate,mean_mean_settling_latency,ci95_mean_settling_latency,mean_mean_energy,ci95_mean_energy,mean_mean_final_progress,ci95_mean_final_progress,mean_mean_token_switches,ci95_mean_token_switches
adaptive_impedance_control,combined_stress,7,12,0.05952,0.04667,5.18935,0.02448,5.71972,0.05574,0.32020,0.00240,1.25144,0.02584,0.00673,0.00074,0.16511,0.00664,0.03499,0.00067,120.00000,0.00000,4.22023,0.06123,0.79855,0.00991,0.00000,0.00000
adaptive_impedance_control,contact_transition,7,12,0.00000,0.00000,4.96914,0.03242,5.13794,0.04862,0.34735,0.00337,1.67376,0.03002,0.00860,0.00021,0.20305,0.00490,0.01646,0.00041,120.00000,0.00000,4.28145,0.03300,0.92145,0.00308,0.00000,0.00000
adaptive_impedance_control,friction_slip_shift,7,12,0.00000,0.00000,4.67620,0.06724,4.42102,0.06906,0.39179,0.00427,1.32321,0.03912,0.00725,0.00044,0.26203,0.00588,0.01634,0.00052,120.00000,0.00000,4.01991,0.14197,0.93493,0.00439,0.00000,0.00000
adaptive_impedance_control,nominal_surface_tracking,7,12,0.00000,0.00000,4.74144,0.03104,4.43467,0.04598,0.39488,0.00195,1.55905,0.04943,0.00725,0.00076,0.15806,0.00181,0.01500,0.00097,120.00000,0.00000,3.79169,0.06931,1.00177,0.00100,0.00000,0.00000
adaptive_impedance_control,stiffness_shift,7,12,0.00000,0.00000,4.71544,0.05702,4.44096,0.07015,0.39376,0.00533,1.50998,0.05201,0.00756,0.00042,0.14828,0.00256,0.02803,0.00106,118.65476,2.63667,4.08091,0.07324,0.99274,0.00154,0.00000,0.00000
admittance_switching_control,combined_stress,7,12,0.00000,0.00000,5.88345,0.03567,6.62536,0.06533,0.36306,0.00275,2.00271,0.03410,0.00870,0.00000,0.14482,0.00682,0.03354,0.00074,120.00000,0.00000,4.58265,0.05385,0.74316,0.01038,0.00000,0.00000
admittance_switching_control,contact_transition,7,12,0.00000,0.00000,5.59253,0.03342,5.88895,0.05527,0.39097,0.00377,2.45921,0.04560,0.00870,0.00000,0.13983,0.00558,0.01739,0.00062,120.00000,0.00000,4.79254,0.07411,0.87394,0.00404,0.00000,0.00000
admittance_switching_control,friction_slip_shift,7,12,0.00000,0.00000,5.24631,0.06870,5.09036,0.07618,0.43963,0.00417,1.69542,0.15203,0.00590,0.00105,0.19127,0.00752,0.01416,0.00120,120.00000,0.00000,4.61988,0.14577,0.90377,0.00537,0.00000,0.00000
admittance_switching_control,nominal_surface_tracking,7,12,0.00000,0.00000,5.30612,0.02959,5.07658,0.04744,0.44194,0.00296,1.95486,0.11731,0.00786,0.00049,0.18004,0.00332,0.01396,0.00092,120.00000,0.00000,4.54343,0.20133,0.97808,0.00164,0.00000,0.00000
admittance_switching_control,stiffness_shift,7,12,0.00000,0.00000,5.33965,0.06170,5.21661,0.08017,0.44590,0.00569,1.96269,0.08351,0.00818,0.00026,0.18128,0.00606,0.02327,0.00165,120.00000,0.00000,4.67749,0.06053,0.96895,0.00258,0.00000,0.00000
fixed_impedance,combined_stress,7,12,0.01190,0.02333,5.50378,0.02462,6.05008,0.05538,0.33964,0.00242,1.51731,0.03433,0.00840,0.00029,0.19532,0.01099,0.03451,0.00068,119.13095,1.70333,4.19618,0.04593,0.83001,0.00764,0.00000,0.00000
fixed_impedance,contact_transition,7,12,0.00000,0.00000,5.38920,0.04260,5.65140,0.05401,0.37674,0.00464,1.98039,0.02008,0.00870,0.00000,0.22557,0.00735,0.01718,0.00026,120.00000,0.00000,4.11943,0.04578,0.93368,0.00271,0.00000,0.00000
fixed_impedance,friction_slip_shift,7,12,0.00000,0.00000,5.14679,0.07531,5.01155,0.06927,0.43128,0.00474,1.67901,0.04487,0.00860,0.00020,0.28734,0.00410,0.01656,0.00048,120.00000,0.00000,4.07349,0.13419,0.95207,0.00373,0.00000,0.00000
fixed_impedance,nominal_surface_tracking,7,12,0.00000,0.00000,5.24920,0.03992,5.07029,0.05018,0.43720,0.00185,1.97588,0.04603,0.00870,0.00000,0.16926,0.00198,0.01739,0.00000,120.00000,0.00000,3.79588,0.04471,1.00650,0.00105,0.00000,0.00000
fixed_impedance,stiffness_shift,7,12,0.00000,0.00000,5.13869,0.06457,4.87857,0.07515,0.42914,0.00677,1.91406,0.04576,0.00860,0.00020,0.16427,0.00227,0.02567,0.00148,120.00000,0.00000,4.04421,0.09217,0.99671,0.00159,0.00000,0.00000
gain_scheduled_impedance,combined_stress,7,12,0.73809,0.11510,5.71051,0.02679,6.51963,0.05952,0.35238,0.00296,0.88130,0.06636,0.00115,0.00082,0.19775,0.01222,0.02892,0.00191,120.00000,0.00000,3.82660,0.07294,0.85084,0.00755,0.00000,0.00000
gain_scheduled_impedance,contact_transition,7,12,0.20238,0.03300,5.36276,0.03542,5.76291,0.05723,0.37488,0.00333,1.12211,0.05055,0.00344,0.00074,0.22088,0.00981,0.00998,0.00097,120.00000,0.00000,3.57857,0.01814,0.94290,0.00301,0.00000,0.00000
gain_scheduled_impedance,friction_slip_shift,7,12,0.00000,0.00000,5.06071,0.07177,4.97313,0.07280,0.42408,0.00494,0.87746,0.02271,0.00052,0.00041,0.28556,0.00364,0.01667,0.00062,120.00000,0.00000,3.39843,0.10889,0.95472,0.00356,0.00000,0.00000
gain_scheduled_impedance,nominal_surface_tracking,7,12,0.00000,0.00000,5.10133,0.03516,4.95459,0.04538,0.42488,0.00217,1.07960,0.02090,0.00269,0.00041,0.16121,0.00124,0.01532,0.00065,120.00000,0.00000,3.09851,0.02518,1.00813,0.00084,0.00000,0.00000
gain_scheduled_impedance,stiffness_shift,7,12,0.00000,0.00000,5.16998,0.06729,5.13294,0.07826,0.43174,0.00605,1.08511,0.02539,0.00280,0.00072,0.15350,0.00194,0.02558,0.00126,120.00000,0.00000,3.42730,0.07940,1.00220,0.00145,0.00000,0.00000
impedance_token_policy,combined_stress,7,12,0.48810,0.12049,5.52575,0.03758,6.22419,0.06617,0.34098,0.00330,0.96296,0.05115,0.00188,0.00053,0.01994,0.00854,0.03353,0.00116,120.00000,0.00000,4.12859,0.05899,0.80271,0.00725,55.71429,0.91209
impedance_token_policy,contact_transition,7,12,0.23810,0.09037,5.16016,0.03193,5.45183,0.05377,0.36075,0.00304,1.19036,0.09343,0.00595,0.00110,0.00522,0.00381,0.01294,0.00112,120.00000,0.00000,3.95537,0.06021,0.90426,0.00277,53.36905,0.36148
impedance_token_policy,friction_slip_shift,7,12,0.00000,0.00000,4.85312,0.06415,4.73792,0.07609,0.40670,0.00394,0.64910,0.07031,0.00136,0.00091,0.03937,0.01081,0.01557,0.00081,120.00000,0.00000,3.40713,0.06252,0.91669,0.00384,51.64286,0.98370
impedance_token_policy,nominal_surface_tracking,7,12,0.01190,0.02333,4.92445,0.03196,4.78160,0.04626,0.41022,0.00246,0.78219,0.04750,0.00198,0.00041,0.01331,0.00608,0.01143,0.00115,120.00000,0.00000,3.11375,0.03838,0.99600,0.00113,52.91667,0.51280
impedance_token_policy,stiffness_shift,7,12,0.00000,0.00000,5.01187,0.06741,4.98808,0.07829,0.41852,0.00629,0.76042,0.06280,0.00156,0.00066,0.00188,0.00368,0.02067,0.00075,120.00000,0.00000,3.37370,0.05099,0.99011,0.00181,50.90476,2.20534
learned_gain_regressor,combined_stress,7,12,0.92857,0.05555,5.50710,0.04095,6.35629,0.07193,0.33980,0.00320,0.77280,0.01486,0.00000,0.00000,0.18511,0.00952,0.03323,0.00058,118.63095,2.68333,3.87647,0.04473,0.83646,0.00923,0.00000,0.00000
learned_gain_regressor,contact_transition,7,12,0.33333,0.07128,4.97576,0.03442,5.32166,0.05000,0.34782,0.00355,1.10799,0.01907,0.00342,0.00074,0.21578,0.00917,0.01522,0.00107,120.00000,0.00000,3.71116,0.05202,0.93240,0.00330,0.00000,0.00000
learned_gain_regressor,friction_slip_shift,7,12,0.03571,0.03300,4.67966,0.06576,4.58679,0.06882,0.39214,0.00409,0.88556,0.03289,0.00031,0.00029,0.27466,0.00605,0.01687,0.00041,120.00000,0.00000,3.51658,0.09469,0.94403,0.00425,0.00000,0.00000
learned_gain_regressor,nominal_surface_tracking,7,12,0.03571,0.03300,4.73473,0.03398,4.59030,0.04493,0.39436,0.00163,1.11012,0.01861,0.00352,0.00020,0.15867,0.00237,0.01698,0.00042,120.00000,0.00000,3.24225,0.03982,1.00511,0.00089,0.00000,0.00000
learned_gain_regressor,stiffness_shift,7,12,0.04762,0.04857,4.84771,0.06562,4.80766,0.07550,0.40482,0.00558,1.05070,0.03890,0.00238,0.00086,0.15281,0.00328,0.02897,0.00152,120.00000,0.00000,3.51873,0.09001,0.99968,0.00128,0.00000,0.00000
oracle_impedance,combined_stress,7,12,0.88095,0.07855,5.42263,0.03861,6.22993,0.06474,0.33461,0.00274,0.82715,0.02896,0.00010,0.00020,0.22498,0.01439,0.03294,0.00116,120.00000,0.00000,3.76735,0.04546,0.86827,0.00650,0.00000,0.00000
oracle_impedance,contact_transition,7,12,0.67857,0.09037,5.10809,0.02499,5.54617,0.05253,0.35708,0.00345,0.91487,0.04393,0.00104,0.00053,0.22957,0.01165,0.01513,0.00159,120.00000,0.00000,3.25238,0.03120,0.95088,0.00270,0.00000,0.00000
oracle_impedance,friction_slip_shift,7,12,0.01190,0.02333,4.80334,0.06669,4.77885,0.07518,0.40248,0.00391,0.50656,0.03506,0.00000,0.00000,0.29831,0.00236,0.01570,0.00111,120.00000,0.00000,2.90012,0.05452,0.96166,0.00345,0.00000,0.00000
oracle_impedance,nominal_surface_tracking,7,12,0.00000,0.00000,4.83483,0.03559,4.76520,0.04432,0.40267,0.00171,0.66770,0.06509,0.00000,0.00000,0.16090,0.00223,0.01435,0.00164,120.00000,0.00000,2.51981,0.05005,1.00730,0.00084,0.00000,0.00000
oracle_impedance,stiffness_shift,7,12,0.02381,0.03012,4.87811,0.06400,4.91185,0.07732,0.40735,0.00591,0.77472,0.03300,0.00010,0.00020,0.16094,0.00310,0.02603,0.00125,120.00000,0.00000,2.94657,0.05370,1.00198,0.00123,0.00000,0.00000
robust_mpc_impedance,combined_stress,7,12,0.02381,0.03012,5.77249,0.03134,6.59199,0.06860,0.35620,0.00277,0.30807,0.03263,0.00000,0.00000,0.11976,0.00754,0.02617,0.00089,120.00000,0.00000,2.71100,0.05487,0.71317,0.01074,0.00000,0.00000
robust_mpc_impedance,contact_transition,7,12,0.20238,0.07855,5.44506,0.03151,5.90790,0.05441,0.38064,0.00378,0.33118,0.02591,0.00000,0.00000,0.10926,0.00636,0.01360,0.00094,120.00000,0.00000,2.52834,0.03208,0.85279,0.00456,0.00000,0.00000
robust_mpc_impedance,friction_slip_shift,7,12,0.00000,0.00000,5.13980,0.07197,5.12244,0.08146,0.43070,0.00468,0.16928,0.02754,0.00000,0.00000,0.16879,0.01122,0.01220,0.00118,120.00000,0.00000,2.36519,0.06496,0.88408,0.00532,0.00000,0.00000
robust_mpc_impedance,nominal_surface_tracking,7,12,0.00000,0.00000,5.17549,0.03836,5.12502,0.05012,0.43102,0.00162,0.28929,0.02588,0.00000,0.00000,0.18556,0.00333,0.01399,0.00147,120.00000,0.00000,1.99166,0.02904,0.96809,0.00161,0.00000,0.00000
robust_mpc_impedance,stiffness_shift,7,12,0.00000,0.00000,5.18737,0.06758,5.18798,0.07997,0.43316,0.00603,0.27095,0.03946,0.00000,0.00000,0.15862,0.00860,0.02122,0.00198,120.00000,0.00000,2.28127,0.03747,0.95873,0.00290,0.00000,0.00000
