stress_level,variant,mean_success,ci95_success
0.0,scalar_uncertainty_planner,0.6681,0.0189
0.0,conformal_risk_filter,0.7069,0.0120
0.0,proposed_branch_mechanism,0.7600,0.0134
0.0,oracle_branch_upper_bound,0.8110,0.0177
0.2,scalar_uncertainty_planner,0.6131,0.0216
0.2,conformal_risk_filter,0.6645,0.0145
0.2,proposed_branch_mechanism,0.7336,0.0132
0.2,oracle_branch_upper_bound,0.7907,0.0161
0.4,scalar_uncertainty_planner,0.5538,0.0210
0.4,conformal_risk_filter,0.6207,0.0125
0.4,proposed_branch_mechanism,0.7002,0.0148
0.4,oracle_branch_upper_bound,0.7729,0.0143
0.6,scalar_uncertainty_planner,0.5007,0.0187
0.6,conformal_risk_filter,0.5707,0.0098
0.6,proposed_branch_mechanism,0.6726,0.0156
0.6,oracle_branch_upper_bound,0.7531,0.0155
0.8,scalar_uncertainty_planner,0.4502,0.0189
0.8,conformal_risk_filter,0.5271,0.0103
0.8,proposed_branch_mechanism,0.6390,0.0147
0.8,oracle_branch_upper_bound,0.7329,0.0174
1.0,scalar_uncertainty_planner,0.3971,0.0176
1.0,conformal_risk_filter,0.4874,0.0109
1.0,proposed_branch_mechanism,0.6024,0.0157
1.0,oracle_branch_upper_bound,0.7102,0.0180
